,ids,names,score
458,ENSG00000244694,PTCHD4,889912.9434258597
695,ENSG00000172409,CLP1,479323.5841413225
600,ENSG00000147889,CDKN2A,421197.8372770037
481,ENSG00000112319,EYA4,399676.5593106406
661,ENSG00000166189,HPS6,328298.45910862513
1146,ENSG00000196767,POU3F4,320731.68378993444
344,ENSG00000178163,ZNF518B,315971.37981251307
1143,ENSG00000131080,EDA2R,252532.96569606237
864,ENSG00000188536,HBA2,245945.18513815742
277,ENSG00000156959,LHFPL4,239657.55152566094
421,ENSG00000204764,RANBP17,159388.36713273186
1109,ENSG00000100285,NEFH,154806.07248251777
739,ENSG00000139200,PIANP,154216.1507143293
782,ENSG00000072041,SLC6A15,139719.0853892735
753,ENSG00000048540,LMO3,94389.36529595511
372,ENSG00000109670,FBXW7,85866.27460152762
1156,ENSG00000147231,CXorf57,78981.58514295306
857,ENSG00000140465,CYP1A1,73706.91922215054
267,ENSG00000171551,ECEL1,71533.0444946289
795,ENSG00000110917,MLEC,67976.36088017056
1039,ENSG00000074219,TEAD2,65886.22564206805
666,ENSG00000151650,VENTX,58299.846698760986
389,ENSG00000132846,ZBED3,56974.43321119036
329,ENSG00000172667,ZMAT3,56149.82944869995
404,ENSG00000112852,PCDHB2,55649.483386175976
164,ENSG00000007908,SELE,54232.73941312517
1011,ENSG00000130513,GDF15,50015.642605372836
497,ENSG00000004846,ABCB5,48206.55618435996
720,ENSG00000235268,KDM4E,38357.74226597377
448,ENSG00000146197,SCUBE3,36902.67498670305
1124,ENSG00000100376,FAM118A,36412.735924312045
712,ENSG00000174807,CD248,35371.017681121826
578,ENSG00000137558,PI15,34628.95119067601
1062,ENSG00000088882,CPXM1,33786.300250462125
704,ENSG00000167992,VWCE,31562.76137106759
1071,ENSG00000101350,KIF3B,29134.43452671596
691,ENSG00000134574,DDB2,28594.159514290946
247,ENSG00000182263,FIGN,27492.74343109131
118,ENSG00000134193,REG4,27219.593408584595
450,ENSG00000124762,CDKN1A,27017.149114336287
1016,ENSG00000196109,ZNF676,26630.80292565482
415,ENSG00000253305,PCDHGB6,26419.21178981236
620,ENSG00000188710,QRFP,26158.53182547433
881,ENSG00000006007,GDE1,24937.294252123153
444,ENSG00000198502,HLA-DRB5,24521.98970276969
1117,ENSG00000189060,H1F0,24389.644877842493
659,ENSG00000107821,KAZALD1,23346.514874049597
633,ENSG00000148468,FAM171A1,22792.81229509626
1126,ENSG00000073146,MOV10L1,22742.30760737828
1048,ENSG00000258405,ZNF578,22559.90900530134
709,ENSG00000110025,SNX15,22553.016928536552
1134,ENSG00000173698,GPR64,22477.052723475867
823,ENSG00000211821,TRDV2,21375.236179351807
839,ENSG00000156414,TDRD9,20810.84725843157
320,ENSG00000152977,ZIC1,20747.397010258264
490,ENSG00000136247,ZDHHC4,20420.146551949638
665,ENSG00000151640,DPYSL4,20362.813699994767
548,ENSG00000258227,CLEC5A,20269.64232962472
501,ENSG00000136231,IGF2BP3,19828.75869968959
368,ENSG00000198099,ADH4,19751.415491376603
1152,ENSG00000147206,NXF3,19609.248735700334
762,ENSG00000110881,ASIC1,19025.6409034729
33,ENSG00000175206,NPPA,18835.075388704026
597,ENSG00000173253,DMRT2,18791.215515681677
853,ENSG00000075131,TIPIN,18357.876531328475
569,ENSG00000189233,NUGGC,18317.246768951416
498,ENSG00000105877,DNAH11,18282.399465015955
1129,ENSG00000205560,CPT1B,18004.162580217635
1175,ENSG00000126890,CTAG2,17785.88516017369
902,ENSG00000159792,PSKH1,16951.54686955043
311,ENSG00000114631,PODXL2,16343.1263961792
484,ENSG00000146477,SLC22A3,16191.054718835014
894,ENSG00000205456,TP53TG3D,16183.351149422782
856,ENSG00000137807,KIF23,15567.352363586426
246,ENSG00000144290,SLC4A10,15176.14321899414
1151,ENSG00000184515,BEX5,15025.710968017578
163,ENSG00000162745,OLFML2B,14582.12864140102
801,ENSG00000132972,RNF17,14516.31767490932
506,ENSG00000146674,IGFBP3,14468.473558153424
213,ENSG00000115138,POMC,14024.887089320591
120,ENSG00000116128,BCL9,13896.567249843052
409,ENSG00000177839,PCDHB9,13745.72972052438
441,ENSG00000189134,NKAPL,13652.431324550083
1092,ENSG00000160221,C21orf33,13449.326216833932
1033,ENSG00000125746,EML2,13401.78854751587
379,ENSG00000040731,CDH10,13149.420776367188
761,ENSG00000181418,DDN,12853.100358963013
968,ENSG00000154655,L3MBTL4,12549.666776384625
675,ENSG00000244734,HBB,12279.41207245418
530,ENSG00000173114,LRRN3,12094.764140810285
64,ENSG00000117632,STMN1,12083.379055976868
413,ENSG00000253910,PCDHGB2,12074.699566977364
813,ENSG00000184226,PCDH9,11971.900899614606
201,ENSG00000180875,GREM2,11656.72607258388
610,ENSG00000198963,RORB,11654.474048069545
748,ENSG00000180574,EIF2S3L,11572.092939104352
422,ENSG00000214357,NEURL1B,11457.602843148368
377,ENSG00000063438,AHRR,11424.036906651088
218,ENSG00000237651,C2orf74,10982.161174229213
391,ENSG00000164308,ERAP2,10975.431052616665
861,ENSG00000183208,GDPGP1,10916.317861284528
635,ENSG00000077327,SPAG6,10908.043866838727
347,ENSG00000163071,SPATA18,10706.999459402901
243,ENSG00000144229,THSD7B,10664.632504054478
346,ENSG00000109158,GABRA4,10608.64836883545
1084,ENSG00000159212,CLIC6,10510.259207589286
155,ENSG00000181036,FCRL6,10403.440971102033
1065,ENSG00000171873,ADRA1D,10363.753178732735
432,ENSG00000137198,GMPR,10272.43224988665
4,ENSG00000187608,ISG15,10256.73619873183
1130,ENSG00000056998,GYG2,10250.297906058175
